aX,aY,aZ,gX,gY,gZ
-0.19,-0.27,1.35,48.279,11.658,-8.667
-0.216,-0.276,1.313,61.279,8.789,-11.108
-0.227,-0.294,1.306,64.697,7.385,-11.047
-0.218,-0.31,1.359,62.561,10.62,-8.85
-0.211,-0.336,1.467,58.777,18.005,-6.47
-0.203,-0.361,1.626,57.8,28.87,-4.028
-0.171,-0.355,1.791,62.683,41.687,-3.113
-0.132,-0.332,1.927,76.538,49.866,-3.906
-0.08,-0.346,2.01,99.365,48.035,-7.263
-0.046,-0.361,2.003,127.991,35.461,-12.817
-0.022,-0.348,1.932,154.724,13.123,-19.409
-0.012,-0.327,1.806,179.871,-13.855,-27.527
-0.029,-0.307,1.62,200.439,-41.931,-34.546
-0.091,-0.263,1.443,213.318,-64.331,-38.33
-0.139,-0.261,1.29,219.421,-76.965,-37.415
-0.151,-0.253,1.161,220.215,-84.106,-36.133
-0.181,-0.218,1.062,218.14,-86.121,-34.424
-0.216,-0.213,0.981,214.233,-83.862,-28.32
-0.21,-0.223,0.885,213.013,-77.454,-21.912
-0.22,-0.203,0.805,211.914,-67.505,-17.578
-0.237,-0.246,0.742,211.06,-53.711,-10.498
-0.184,-0.278,0.705,214.966,-36.316,-8.24
-0.179,-0.279,0.628,220.154,-25.635,-7.446
-0.154,-0.311,0.559,223.206,-18.127,-7.69
-0.132,-0.352,0.472,221.863,-16.541,-9.583
-0.15,-0.39,0.379,216.431,-22.217,-10.437
-0.152,-0.426,0.325,207.947,-26.733,-11.047
-0.151,-0.458,0.283,196.533,-32.41,-10.498
-0.163,-0.484,0.239,189.026,-39.978,-9.705
-0.186,-0.525,0.201,179.565,-46.326,-7.935
-0.21,-0.582,0.169,168.03,-48.584,-4.578
-0.217,-0.615,0.165,155.457,-44.556,-0.427
-0.212,-0.65,0.184,147.827,-35.828,3.784
-0.193,-0.67,0.201,144.958,-24.902,6.958
-0.19,-0.694,0.193,144.897,-15.686,8.972
-0.168,-0.727,0.192,143.86,-8.057,11.841
-0.125,-0.749,0.212,141.663,-4.15,13.855
-0.066,-0.764,0.231,139.832,-6.104,13.489
-0.023,-0.786,0.226,141.357,-13.367,9.766
-0.031,-0.81,0.176,143.494,-24.658,2.93
-0.059,-0.836,0.107,143.555,-33.447,-4.15
-0.094,-0.847,0.066,137.817,-35.889,-9.46
-0.133,-0.843,0.045,130.066,-34.729,-11.597
-0.154,-0.845,0.043,124.695,-30.762,-10.376
-0.136,-0.837,0.044,121.155,-24.719,-7.446
-0.116,-0.822,0.036,119.934,-20.691,-5.249
