aX,aY,aZ,gX,gY,gZ
0.095,0.221,1.557,6.042,-135.681,14.648
0.1,0.193,1.592,11.719,-172.852,19.714
0.049,0.119,1.615,23.865,-211.121,26.917
0.001,0.08,1.579,32.654,-250.854,35.095
-0.039,0.042,1.511,41.565,-286.743,41.992
-0.065,-0.057,1.405,58.838,-311.401,45.532
-0.064,-0.16,1.318,72.266,-327.271,46.997
-0.055,-0.266,1.26,76.111,-339.111,44.678
-0.042,-0.353,1.19,75.928,-350.281,38.635
-0.052,-0.409,1.137,76.843,-362,29.968
-0.074,-0.472,1.071,78.918,-374.39,19.714
-0.022,-0.55,1.041,87.646,-385.742,4.944
0.016,-0.583,0.955,97.656,-396.973,-15.137
-0.025,-0.632,0.918,107.422,-423.828,-34.302
-0.186,-0.705,0.735,112.976,-461.06,-50.537
-0.298,-0.715,0.693,115.173,-478.699,-54.932
-0.302,-0.73,0.69,120.667,-478.76,-56.763
-0.252,-0.692,0.629,137.634,-467.957,-62.256
-0.14,-0.807,0.567,163.33,-448.669,-77.148
-0.016,-0.962,0.434,187.012,-434.448,-108.765
0.065,-0.961,0.253,196.35,-440.552,-152.649
-0.102,-0.838,0.074,194.824,-464.966,-198.242
-0.268,-0.753,-0.17,190.979,-497.131,-224.487
-0.364,-0.679,-0.461,188.843,-520.264,-230.347
-0.432,-0.732,-0.714,187.622,-527.588,-226.868
-0.684,-0.755,-1.103,181.335,-522.095,-217.834
-1.018,-0.813,-1.363,161.865,-495.483,-190.491
-1.059,-0.903,-1.506,132.019,-444.58,-142.822
-0.931,-0.942,-1.55,96.802,-389.099,-96.863
-0.757,-0.962,-1.506,61.829,-337.891,-62.5
-0.537,-0.948,-1.366,31.128,-292.053,-45.044
-0.292,-0.876,-1.256,8.545,-256.348,-45.715
-0.139,-0.757,-1.048,-7.568,-235.901,-58.533
0.017,-0.552,-0.844,-17.334,-234.131,-78.613
0.13,-0.364,-0.677,-15.503,-244.385,-103.088
0.228,-0.246,-0.596,4.578,-250.61,-133.423
0.276,-0.127,-0.52,33.203,-244.69,-167.725
0.291,0.081,-0.446,66.223,-220.886,-204.224
0.01,0.173,-0.547,98.755,-194.397,-230.286
-0.138,0.26,-0.822,106.934,-198.242,-227.539
-0.156,0.398,-0.893,77.698,-217.224,-196.35
-0.034,0.633,-0.903,38.33,-237.488,-165.039
0.032,0.825,-0.897,3.967,-248.657,-145.813
0.093,1.006,-0.789,-15.32,-243.347,-136.047
0.145,1.099,-0.649,-16.174,-224.731,-131.226
0.229,1.145,-0.55,2.502,-198.486,-132.996
0.288,1.125,-0.553,31.982,-171.143,-142.395
0.238,1.085,-0.665,56.824,-152.344,-156.311
0.067,0.981,-0.756,68.481,-136.414,-166.992
-0.043,0.895,-0.823,65.735,-121.704,-162.231
-0.058,0.855,-0.872,57.922,-106.14,-147.339
-0.094,0.81,-0.83,48.828,-90.881,-133.545
-0.123,0.791,-0.675,41.382,-72.266,-124.634
-0.027,0.897,-0.508,39.185,-51.697,-119.995
-0.025,0.872,-0.438,51.758,-44.922,-115.601
0.087,0.934,-0.508,66.406,-56.091,-120.361
-0.103,0.966,-0.669,75.867,-77.087,-131.226
-0.269,0.987,-0.877,81.299,-99.67,-136.047
-0.521,0.937,-1.079,81.787,-114.319,-121.216
-0.68,0.865,-1.203,71.045,-105.835,-97.9
-0.577,0.845,-1.249,53.711,-73.547,-66.711
-0.549,0.732,-1.291,39.001,-42.603,-36.377
-0.443,0.855,-1.134,17.09,-11.353,-6.592
-0.169,0.636,-1.103,12.878,6.47,15.381
-0.146,0.631,-1.047,-2.075,-2.563,28.381
-0.016,0.603,-0.912,-13.55,6.042,37.109
0.091,0.647,-0.802,-10.254,17.212,34.851
0.16,0.558,-0.783,4.395,26.55,31.555
0.176,0.483,-0.844,14.221,23.437,24.475
0.194,0.51,-0.869,12.451,9.644,19.47
0.146,0.483,-0.961,15.137,-5.615,14.404
0.074,0.429,-1.058,11.536,-20.691,7.751
0.026,0.38,-1.108,5.676,-26.794,2.38
0.005,0.396,-1.08,0.061,-24.963,2.014
0.059,0.421,-1.026,-3.845,-16.602,6.775
0.158,0.437,-0.972,-4.944,-6.531,9.094
0.136,0.418,-0.926,0.61,-1.709,7.935
0.182,0.441,-0.833,7.629,6.165,1.038
0.1,0.388,-0.848,16.846,8.179,-6.592
0.074,0.391,-0.893,26.489,6.165,-14.587
0.039,0.412,-0.939,27.039,-2.014,-20.203
-0.013,0.438,-0.994,24.841,-19.592,-23.621
-0.09,0.434,-1.056,18.005,-38.635,-23.376
-0.136,0.461,-1.075,12.207,-48.218,-19.47
-0.186,0.437,-1.113,6.104,-46.509,-11.292
-0.163,0.45,-1.078,3.784,-32.227,-5.798
-0.115,0.462,-0.996,2.258,-11.292,-2.014
-0.07,0.425,-0.946,5.92,5.432,1.831
-0.038,0.408,-0.92,11.841,14.465,4.089
0.001,0.406,-0.9,17.212,16.785,4.089
0.008,0.393,-0.926,17.578,10.132,2.563
0,0.393,-0.963,15.747,0.061,-1.038
-0.046,0.386,-1.013,12.634,-10.62,-2.563
-0.086,0.389,-1.038,8.484,-17.273,-1.892
-0.113,0.421,-1.031,5.615,-16.296,0.671
-0.132,0.446,-1.006,3.174,-8.85,3.784
-0.133,0.451,-0.977,2.136,1.648,7.019
-0.113,0.452,-0.932,2.258,12.512,10.01
-0.079,0.448,-0.9,6.409,20.02,11.047
-0.034,0.424,-0.904,10.071,21.179,10.132
-0.008,0.408,-0.918,10.071,15.564,7.507
-0.017,0.407,-0.927,8.057,5.737,3.906
-0.054,0.414,-0.936,6.226,-3.113,1.587
-0.09,0.418,-0.949,3.723,-6.775,2.38
-0.104,0.424,-0.951,1.038,-3.113,5.188
-0.097,0.423,-0.943,3.906,5.859,8.545
-0.07,0.417,-0.924,5.798,15.381,12.085
-0.043,0.415,-0.9,5.066,22.278,14.709
-0.017,0.402,-0.887,6.47,25.757,15.198
0.014,0.395,-0.893,9.033,23.621,13.306
0.039,0.397,-0.894,11.108,17.639,9.949
0.033,0.375,-0.914,12.39,8.545,6.592
0.018,0.378,-0.937,8.728,0.122,3.845
0,0.383,-0.947,6.958,-3.357,1.77
-0.026,0.385,-0.954,7.996,-2.625,1.343
-0.037,0.389,-0.953,6.836,1.953,2.563
-0.031,0.384,-0.956,6.47,8.301,4.333
-0.021,0.377,-0.953,6.775,12.451,6.104
0.002,0.388,-0.934,5.92,12.451,6.958
-0.849,0.228,-0.635,31.799,84.045,6.287
-0.803,0.188,-0.672,31.86,88.684,7.202
-0.772,0.166,-0.673,24.048,83.618,6.653
-0.767,0.173,-0.649,10.62,67.993,5.92
-0.79,0.186,-0.616,-0.793,49.927,4.517
-0.826,0.202,-0.588,-9.949,35.645,2.319
-0.871,0.221,-0.57,-13.489,28.564,1.038
-0.91,0.239,-0.549,-10.864,28.32,0.061
-0.931,0.249,-0.53,-5.92,33.997,0.244
-0.948,0.252,-0.529,1.099,42.419,1.77
-0.965,0.255,-0.528,5.798,52.185,4.517
-0.971,0.271,-0.52,8.606,64.331,7.935
-0.966,0.279,-0.512,16.357,78.247,11.963
-0.954,0.275,-0.514,23.315,92.041,16.174
-0.934,0.275,-0.512,27.588,104.675,19.287
-0.928,0.246,-0.521,32.288,114.868,21.118
-0.926,0.218,-0.509,31.372,122.375,22.705
-0.927,0.203,-0.486,30.396,127.625,24.109
-0.918,0.183,-0.459,28.015,131.714,25.879
-0.914,0.17,-0.425,27.466,134.033,27.161
-0.911,0.171,-0.383,24.292,134.827,28.687
-0.906,0.174,-0.348,27.649,136.597,29.236
-0.913,0.18,-0.322,28.992,140.015,28.687
-0.922,0.19,-0.301,32.593,145.325,27.649
-0.927,0.19,-0.283,38.208,153.015,27.039
-0.929,0.189,-0.264,40.833,160.4,26.855
-0.942,0.177,-0.247,44.189,165.344,27.222
-0.952,0.155,-0.235,44.006,168.701,28.687
-0.96,0.138,-0.219,44.556,171.997,29.968
-0.948,0.134,-0.197,40.405,174.805,31.982
-0.92,0.136,-0.165,38.879,175.781,32.532
-0.899,0.129,-0.108,34.302,173.523,31.616
